latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
46.11960663611111,7.021176038888889,1000.2632,13.93000,71,2022,-794064.167
46.119606850000004,7.021176225,1000.2115,13.93028,71,2022,-794300.293
46.11960704166667,7.021176338888889,1000.1645,13.93056,71,2022,-794542.239
46.119607352777784,7.021176672222222,1000.1016,13.93083,71,2022,-794782.312
46.11960745555556,7.021176888888888,1000.0593,13.93111,71,2022,-795020.447
46.11960758333334,7.021177183333333,1000.0285,13.93139,71,2022,-795260.921
46.11960747777778,7.021177472222222,1000.0488,13.93167,71,2022,-795498.408
46.11960769444445,7.0211781138888885,1000.0819,13.93194,71,2022,-795736.377
46.11960678333333,7.02117855,1000.1331,13.93222,71,2022,-795974.621
46.119605855555555,7.021179036111111,1000.1651,13.93250,71,2022,-796213.988
46.11960532500001,7.021179477777777,1000.1918,13.93278,71,2022,-796453.845
46.119604877777775,7.021179822222222,1000.166,13.93306,71,2022,-796692.159
46.11960447500001,7.021180563888889,1000.1579,13.93333,71,2022,-796935.430
46.11960401666667,7.021181411111111,1000.1978,13.93361,71,2022,-797174.594
46.11960360277778,7.021182163888889,1000.2165,13.93389,71,2022,-797412.422
46.11960314444445,7.021182905555555,1000.2293,13.93417,71,2022,-797652.527
46.11960266388889,7.0211837388888885,1000.2514,13.93444,71,2022,-797891.806
46.11960198333333,7.021184833333332,1000.3051,13.93472,71,2022,-798132.980
46.11960124722222,7.021185933333332,1000.3411,13.93500,71,2022,-798370.395
46.11960044722222,7.0211871666666665,1000.3826,13.93528,71,2022,-798609.925
46.11959941111111,7.021188297222223,1000.4281,13.93556,71,2022,-798850.586
46.119598172222226,7.021189505555555,1000.4988,13.93583,71,2022,-799089.902
46.119596780555554,7.021190902777778,1000.6236,13.93611,71,2022,-799328.528
46.11959564722222,7.021192294444445,1000.7152,13.93639,71,2022,-799569.333
46.11959455000001,7.021193886111112,1000.8226,13.93667,71,2022,-799810.418
46.11959332222222,7.021195524999999,1000.8461,13.93694,71,2022,-800047.353
46.11959227777778,7.021197244444444,1000.8184,13.93722,71,2022,-800286.732
46.119591225,7.021199025,1000.7984,13.93750,71,2022,-800528.667
46.11958935555555,7.021201758333333,1000.9667,13.93778,71,2022,-800763.289
46.11958686666667,7.021204586111111,1001.23,13.93806,71,2022,-801001.993
46.11958444444444,7.021207333333333,1001.4492,13.93833,71,2022,-801239.073
46.11958125,7.0212100472222225,1001.8144,13.93861,71,2022,-801474.184
46.11957900277777,7.021212900000001,1002.0736,13.93889,71,2022,-801712.171
46.11957583888889,7.021215338888889,1002.381,13.93917,71,2022,-801949.843
46.11957261111111,7.021217841666665,1002.6986,13.93944,71,2022,-802184.425
46.119569277777785,7.0212203749999995,1003.037,13.93972,71,2022,-802423.094
46.11956602499999,7.021222911111111,1003.3673,13.94000,71,2022,-802662.157
46.119562872222225,7.021225347222221,1003.6777,13.94028,71,2022,-802899.106
46.119559675000005,7.02122753888889,1003.9315,13.94056,71,2022,-803137.011
